date,price,volume
2024-04-23,6.887436384577657e-06,1058181207.1697377
2024-04-24,7.679754443160145e-06,1346146843.4430306
2024-04-25,7.268421913868963e-06,1327415872.7540512
2024-04-26,7.818891457626246e-06,1162760539.283636
2024-04-27,7.351727214845928e-06,828532585.6534829
2024-04-28,7.2205114158569815e-06,672462497.0517317
2024-04-29,7.212492593181717e-06,619476380.0229728
2024-04-30,7.349839513311942e-06,650151669.2074121
2024-05-01,6.682016312514665e-06,924148216.9604586
2024-05-02,7.017736950923913e-06,1140852796.6713178
2024-05-03,7.565442636427344e-06,1159143251.6964946
2024-05-04,8.099960827396344e-06,1105091519.5658183
2024-05-05,8.661903936228053e-06,1087692387.5981135
2024-05-06,8.494309782020315e-06,697817314.9044161
2024-05-07,8.336514816788715e-06,966401309.6603179
2024-05-08,7.944666789437567e-06,692781426.0585815
2024-05-09,7.98742699566289e-06,683465288.5760319
2024-05-10,8.549701409515095e-06,891532744.1848656
2024-05-11,8.415972348662765e-06,753174399.226354
2024-05-12,8.475291260185867e-06,616726309.6185608
2024-05-13,8.754519453115519e-06,449908904.5412064
2024-05-14,9.850499493587714e-06,1998452405.0366404
2024-05-15,1.051129744555748e-05,2467823168.623397
2024-05-16,1.0557314187216241e-05,1871017577.01842
2024-05-17,1.005461113357082e-05,1007141525.1338071
2024-05-18,1.0202587389370255e-05,729576312.0990311
2024-05-19,9.541558670675884e-06,660327054.000033
2024-05-20,9.164679131388645e-06,479152766.76986617
2024-05-21,1.123852659473937e-05,1357995454.9590888
2024-05-22,1.3809358104853935e-05,2710433138.7272725
2024-05-23,1.334440011610093e-05,2139826384.348119
2024-05-24,1.4922802870779251e-05,2843095738.4565086
2024-05-25,1.4163925713604257e-05,1340563961.0099022
2024-05-26,1.4937884565760862e-05,1353249138.685236
2024-05-27,1.5952436906073327e-05,1480963936.177827
2024-05-28,1.6646608932022776e-05,1693322404.7897012
2024-05-29,1.5992869138003313e-05,1624727242.3141448
2024-05-30,1.4720376095071086e-05,1344093905.8223946
2024-05-31,1.4412855960950128e-05,1674212614.9665914
2024-06-01,1.5441047383269976e-05,1441260595.5190096
2024-06-02,1.485471289340282e-05,866205800.6345891
2024-06-03,1.4567561899197977e-05,906602613.0391129
2024-06-04,1.4435928057908717e-05,954731018.4627273
2024-06-05,1.4349974158884364e-05,798737846.0556985
2024-06-06,1.4576221135447047e-05,1009143960.7017409
2024-06-07,1.4392829832279976e-05,782065345.7136024
2024-06-08,1.2822939606467539e-05,1313434402.7046847
2024-06-09,1.2135346246584088e-05,881305279.6389266
2024-06-10,1.2764392556674418e-05,727960904.7123619
2024-06-11,1.2085042796885793e-05,714852877.085632
2024-06-12,1.2778079037049468e-05,1288465697.561884
2024-06-13,1.317131261243079e-05,1361365550.1794384
2024-06-14,1.1870857155894082e-05,870321003.7135277
2024-06-15,1.1373613736419744e-05,937642023.4308103
2024-06-16,1.1809275207990526e-05,582194901.8591827
2024-06-17,1.2317090995909393e-05,513606553.0730624
2024-06-18,1.1171637522392975e-05,776597484.1320492
2024-06-19,1.1008930288279974e-05,1059530139.2248709
2024-06-20,1.136009933520655e-05,763626283.2610438
2024-06-21,1.096737641331523e-05,809044356.2776577
2024-06-22,1.1407286599415112e-05,763387782.5243338
2024-06-23,1.141933259873677e-05,361998384.0637753
2024-06-24,1.0884663708514512e-05,454251100.3804787
2024-06-25,1.1275639873086569e-05,865188760.8393078
2024-06-26,1.280945255119844e-05,1087709001.4719381
2024-06-27,1.2480032788299767e-05,752983682.1470343
2024-06-28,1.2531551626723996e-05,595627853.2212703
2024-06-29,1.1535254978398966e-05,557787984.931016
2024-06-30,1.129166699308786e-05,302086645.7368466
2024-07-01,1.1834566110401814e-05,502740774.95631695
2024-07-02,1.1412917238721527e-05,507953898.1017461
2024-07-03,1.128634136536836e-05,497497424.0357124
2024-07-04,1.0237584527245781e-05,727183244.696018
2024-07-05,8.927785928563917e-06,1013080292.1417869
2024-07-06,8.889122135576347e-06,1529109000.0829237
2024-07-07,9.740898865327442e-06,686661853.9640013
2024-07-08,8.386343783949773e-06,625608950.5137972
2024-07-09,9.164782716219039e-06,1604975533.293717
2024-07-10,9.0770134898232e-06,998456342.0350119
2024-07-11,9.202009634062136e-06,884286216.3737103
2024-07-12,8.892443984423003e-06,947880637.5088203
2024-07-13,8.672504801488397e-06,781252380.0957856
2024-07-14,8.706022018129234e-06,526328903.8371806
2024-07-15,9.234399465526031e-06,899814445.6469928
2024-07-16,1.138675534683768e-05,1944790578.6570735
2024-07-17,1.2369176443726459e-05,2823108119.5064373
2024-07-18,1.1684709219842151e-05,1487600237.5083923
2024-07-19,1.1659141391034726e-05,1449509734.5430367
2024-07-20,1.2686997959640374e-05,1504073419.601308
2024-07-21,1.2243537381590815e-05,1042571859.2879101
2024-07-22,1.249190150737867e-05,1195220646.8134873
2024-07-23,1.1895940387574104e-05,888571584.6814338
2024-07-24,1.2627075060310609e-05,1617201807.4995193
2024-07-25,1.2218760973501835e-05,1551365756.262881
2024-07-26,1.1472769855163252e-05,1522734472.3302755
2024-07-27,1.2044015909781473e-05,859040617.500862
2024-07-28,1.1953217000509627e-05,934585797.178007
2024-07-29,1.1740893622905076e-05,548997723.527086
2024-07-30,1.1818116433383874e-05,999330560.331617
2024-07-31,1.1288949974817519e-05,717083704.9311912
2024-08-01,1.1055986520116784e-05,620778247.1069031
2024-08-02,1.0587590814285604e-05,1051894271.2484683
2024-08-03,9.302843830138798e-06,1079652155.1487615
2024-08-04,8.650598409072813e-06,1173715645.671945
2024-08-05,8.055316957437677e-06,1275345923.668327
2024-08-06,7.074562365449622e-06,3506366483.9099207
2024-08-07,7.726114572225104e-06,1598193681.475416
2024-08-08,7.378151842680227e-06,1421789807.350473
2024-08-09,8.764680489199087e-06,1445019799.9210758
2024-08-10,8.507496541568894e-06,1325641628.0471795
2024-08-11,8.430513369520323e-06,569181403.6338167
2024-08-12,7.745620593715817e-06,886132163.8629596
2024-08-13,8.241537022214019e-06,1169278903.875512
2024-08-14,8.187728464809345e-06,695589631.3913826
2024-08-15,8.019721018431367e-06,734079416.0816946
2024-08-16,7.4570420324708495e-06,860915535.131299
2024-08-17,7.16795676928073e-06,905831506.92009
2024-08-18,7.474930192482385e-06,642176149.5408107
2024-08-19,7.297368522944681e-06,524695308.4485652
2024-08-20,7.695756995411844e-06,616392191.3715458
2024-08-21,7.776090680329256e-06,1050379721.7302307
2024-08-22,7.91493957320218e-06,722702423.2522349
2024-08-23,7.992050254624336e-06,601494595.4167333
2024-08-24,9.059274548906124e-06,1305709000.4423785
2024-08-25,9.462321621802279e-06,1184047980.3138833
2024-08-26,9.119824820540128e-06,989294858.5367969
2024-08-27,8.530910891640103e-06,853114857.4256297
2024-08-28,7.646118827164211e-06,1521562914.466026
2024-08-29,7.699226837793512e-06,1609367993.750153
2024-08-30,7.661397630223598e-06,1115040777.518322
2024-08-31,7.783231690650538e-06,1039300478.021927
2024-09-01,7.614350451240171e-06,571790834.8654361
2024-09-02,7.165010104773535e-06,708348711.4006292
2024-09-03,7.601895076151056e-06,926625447.0727129
2024-09-04,7.271461474125992e-06,672629939.4466077
2024-09-05,7.349919849039338e-06,1008717722.106241
2024-09-06,7.097586395431797e-06,627506708.2195258
2024-09-07,6.6423906575842296e-06,1126261787.5800164
2024-09-08,6.750866057627698e-06,729007104.665005
2024-09-09,7.065367471156964e-06,831328542.2412168
2024-09-10,7.398965455881004e-06,1040079287.691512
2024-09-11,7.473565117430383e-06,1008009535.1342875
2024-09-12,7.241245281653145e-06,963732316.5246519
2024-09-13,7.412396321723108e-06,782410198.7870218
2024-09-14,7.926719981372e-06,1007074289.851677
2024-09-15,7.746235942306449e-06,625616994.5446502
2024-09-16,7.380485351422339e-06,590975267.0076271
2024-09-17,7.201012976899815e-06,841567310.8551965
2024-09-18,7.3112162010686946e-06,976861811.2679921
2024-09-19,7.510987937810838e-06,1187244752.6087217
2024-09-20,7.956046430748504e-06,1798393152.0641274
2024-09-21,8.194496623965011e-06,1468026372.4128306
2024-09-22,8.421459560423109e-06,801612884.3130744
2024-09-23,8.014099305569544e-06,885064491.5398724
2024-09-24,8.116019265612451e-06,1019941249.0063115
2024-09-25,8.60869550496846e-06,1536102960.127383
2024-09-26,8.432137091116152e-06,1411328577.4254446
2024-09-27,9.52287909751174e-06,1983602148.7383978
2024-09-28,1.0693156678045403e-05,2417786124.113751
2024-09-29,1.1312447023185163e-05,2336318156.6468973
2024-09-30,1.1309594545409278e-05,2345341027.0918837
2024-10-01,1.048366373875091e-05,2025974490.9513774
2024-10-02,9.696832663097047e-06,3313779487.8398337
2024-10-03,9.239141954705709e-06,2506484129.3857217
2024-10-04,8.632603110211776e-06,1888416770.1106303
2024-10-05,9.37923050848553e-06,1931385647.9951556
2024-10-06,9.3393998125039e-06,1477018036.4794555
2024-10-07,1.0226880746201553e-05,1724489686.00341
2024-10-08,9.867451609514003e-06,2658704866.0958962
2024-10-09,9.516150618896126e-06,1899602175.0658727
2024-10-10,9.10767161391675e-06,1600588163.6895168
2024-10-11,9.241928295238555e-06,1392651014.2769516
