date,price,volume
2024-04-23,2.6894235073998004e-05,721964847.1662704
2024-04-24,2.676007100765451e-05,663795714.0471207
2024-04-25,2.5644227342355116e-05,783166695.249053
2024-04-26,2.571399489460208e-05,792428896.5793096
2024-04-27,2.5231364284245194e-05,578932847.7453465
2024-04-28,2.4818688554163012e-05,480482020.45243675
2024-04-29,2.4217775007593964e-05,360475847.44048065
2024-04-30,2.4141908108538038e-05,565381850.4183005
2024-05-01,2.2432170719496002e-05,679448096.9275072
2024-05-02,2.2625383938628155e-05,850635193.6893597
2024-05-03,2.2876315962188538e-05,691066631.5305759
2024-05-04,2.4448998207199858e-05,625553417.7699707
2024-05-05,2.503730498370136e-05,694441819.4014359
2024-05-06,2.4698246173976623e-05,384490337.3107006
2024-05-07,2.3872794686586557e-05,631854890.8223225
2024-05-08,2.303910028355073e-05,407730587.0024696
2024-05-09,2.2570210196809813e-05,448154306.7860871
2024-05-10,2.3515655228896505e-05,370248743.42596495
2024-05-11,2.242980914624018e-05,458972266.0470172
2024-05-12,2.2479680161789127e-05,212343582.93241185
2024-05-13,2.2315770970617425e-05,155099872.36106846
2024-05-14,2.3303066004130815e-05,847101095.2801323
2024-05-15,2.295258348758427e-05,781955066.562193
2024-05-16,2.5235932125630068e-05,865796532.5815521
2024-05-17,2.451933692182684e-05,701330109.6366434
2024-05-18,2.5037387966665773e-05,411374846.0914167
2024-05-19,2.4754028274485797e-05,271726703.9371504
2024-05-20,2.3853073927687465e-05,287510999.06642765
2024-05-21,2.5986033167112755e-05,632106262.1544819
2024-05-22,2.6071868208349515e-05,931438745.143966
2024-05-23,2.5301259752547207e-05,723040417.8192577
2024-05-24,2.4584657508813343e-05,737181552.3868347
2024-05-25,2.4375662647621578e-05,417250233.68483967
2024-05-26,2.500107915866046e-05,361331852.0787936
2024-05-27,2.432236421612822e-05,291297377.7774307
2024-05-28,2.548791707499741e-05,683674002.4002804
2024-05-29,2.665789376316621e-05,1252767621.322973
2024-05-30,2.7615640232726832e-05,1810591790.9929214
2024-05-31,2.5904926770898825e-05,952701871.6461807
2024-06-01,2.5447648523123995e-05,513324455.3401894
2024-06-02,2.528202747861538e-05,237955565.05324313
2024-06-03,2.4620790007858896e-05,369214466.1000661
2024-06-04,2.441634676256568e-05,370441978.8638435
2024-06-05,2.464847104887898e-05,567921208.5897777
