date,price,volume
2024-04-23,2.025282707745467e-05,177938019.48607513
2024-04-24,2.462738514672155e-05,323037059.328646
2024-04-25,2.444609493406261e-05,612606928.1426232
2024-04-26,2.716194452631166e-05,535086760.54114145
2024-04-27,2.5502209666364854e-05,412570466.4244147
2024-04-28,2.464654054743054e-05,327697814.67019075
2024-04-29,2.5022412146676954e-05,281413933.0592867
2024-04-30,2.5472205288681643e-05,273598037.9167481
2024-05-01,2.267134071658068e-05,266828177.16355604
2024-05-02,2.2997957927810717e-05,397323089.6074303
2024-05-03,2.536443449717124e-05,403784734.4474484
2024-05-04,2.7181280610577e-05,415018737.07729036
2024-05-05,2.7532071086071586e-05,353134267.95767
2024-05-06,2.6387975241945695e-05,209498158.94163156
2024-05-07,2.4942593342437675e-05,293167312.1726052
2024-05-08,2.3802230688942595e-05,167291566.78158846
2024-05-09,2.3493136257380294e-05,153407640.70427683
2024-05-10,2.4611628523839635e-05,194971626.48491046
2024-05-11,2.2906538634525993e-05,220490574.31147087
2024-05-12,2.2860076470147293e-05,109287266.72457795
2024-05-13,2.280643750955238e-05,73015544.17075133
2024-05-14,2.3323903218929042e-05,288151977.8713061
2024-05-15,2.2898983909841656e-05,249556693.89830974
2024-05-16,2.4860582536228347e-05,280512143.3910473
2024-05-17,2.3918843344003085e-05,273320054.02479315
2024-05-18,2.4467420743166996e-05,191333517.66547528
2024-05-19,2.6270867158998997e-05,326693229.8117043
2024-05-20,2.519496045460241e-05,539085576.5895575
2024-05-21,3.039581326715999e-05,585211311.5266345
2024-05-22,3.28739766079775e-05,1015420156.2021977
2024-05-23,3.2232836389412494e-05,686700513.4033325
2024-05-24,3.518543285110827e-05,1001153923.8661337
2024-05-25,3.3180956760033176e-05,474983809.96717685
2024-05-26,3.495921219974579e-05,512468269.7226956
2024-05-27,3.3896590859599226e-05,356537832.3129019
2024-05-28,3.9112652817858515e-05,776264476.3419844
2024-05-29,4.119695793002034e-05,1110914869.115014
2024-05-30,3.6403329687182716e-05,653519335.0729125
2024-05-31,3.389780012066548e-05,757675450.8523116
2024-06-01,3.4514590566328745e-05,491343611.6506198
2024-06-02,3.319409714606468e-05,267826627.46700826
2024-06-03,3.1730879573251245e-05,315203904.43732834
2024-06-04,3.2008255903304775e-05,564021322.2318463
2024-06-05,3.313515964522009e-05,400913643.0778184
2024-06-06,3.391704581984475e-05,583858670.777239
2024-06-07,3.1762156467003266e-05,290644537.02139384
2024-06-08,2.886387295545417e-05,602053875.6746529
2024-06-09,2.752929178834944e-05,303988631.2217018
2024-06-10,2.862049415748837e-05,260459556.16591603
2024-06-11,2.707935129356389e-05,247542283.12502974
2024-06-12,2.7209295217085295e-05,442073350.7250016
2024-06-13,2.8946747804091823e-05,471732210.16795826
2024-06-14,2.561235774799771e-05,313175338.8276283
2024-06-15,2.423923399053625e-05,268043617.94671214
2024-06-16,2.4435455011486092e-05,155216379.36902943
2024-06-17,2.5242508634604517e-05,145870368.94204313
2024-06-18,2.3019967664717714e-05,275674582.46893966
2024-06-19,2.1119709464468208e-05,299425856.16864085
2024-06-20,2.1051384431247553e-05,219598679.1214428
2024-06-21,2.112584637489894e-05,224025176.4550147
2024-06-22,2.0362177492616337e-05,245681791.60019946
2024-06-23,2.0629965624328976e-05,139806839.67945477
2024-06-24,1.9944883202228835e-05,152519566.6737547
2024-06-25,2.1827785424743117e-05,348486327.8541241
2024-06-26,2.3195238708772805e-05,353308389.2697563
2024-06-27,2.1877520472844887e-05,222088791.54774854
2024-06-28,2.45709980538596e-05,374316063.08606863
2024-06-29,2.2573220296351025e-05,242740582.30345163
2024-06-30,2.2302632690405676e-05,149164909.09185454
2024-07-01,2.2552797648350596e-05,151032179.1880392
2024-07-02,2.5527276769747513e-05,369724282.63159174
2024-07-03,2.5377706783610836e-05,458476229.2770151
2024-07-04,2.2450247592989083e-05,319385515.6414055
2024-07-05,2.0700094278093407e-05,324814160.86801
2024-07-06,2.1818060576747544e-05,526022464.90150297
2024-07-07,2.322936731257547e-05,297402183.79757345
2024-07-08,2.1102672184182016e-05,245637184.75516596
2024-07-09,2.3985740841594294e-05,707395258.5895928
2024-07-10,2.581514048558426e-05,568735606.6031413
2024-07-11,2.6396704788607154e-05,282884172.960218
2024-07-12,2.3529306403408113e-05,438231640.54464966
2024-07-13,2.251675188465075e-05,297524000.198499
2024-07-14,2.27406264073883e-05,180767516.83230373
2024-07-15,2.4063269192330265e-05,289315273.6694689
2024-07-16,2.6804255723297504e-05,424518180.7100989
2024-07-17,2.8554252606878653e-05,712375873.1076615
2024-07-18,2.6701257396632827e-05,387949511.51474947
2024-07-19,2.6849438319868682e-05,403616915.636899
2024-07-20,3.149126782069784e-05,780740691.2942747
2024-07-21,3.0978224444741717e-05,501804297.5314964
2024-07-22,3.254066462640515e-05,457455965.1861281
2024-07-23,3.006458882065761e-05,362396625.05779016
2024-07-24,2.831015249137801e-05,431151836.3079995
2024-07-25,2.741104699011646e-05,383197830.6401011
2024-07-26,2.7055471017680836e-05,389525411.88931537
2024-07-27,2.856775146081177e-05,280000968.26221454
2024-07-28,2.8389489783690936e-05,348890740.94488543
2024-07-29,2.805370783883272e-05,173234470.15922067
2024-07-30,2.6945841562915312e-05,288666684.5939294
2024-07-31,2.5955566642394618e-05,281928990.7736528
2024-08-01,2.457556424828693e-05,221206931.326711
2024-08-02,2.4933289927540973e-05,295454794.4783564
2024-08-03,2.2368981989209047e-05,355702295.69686383
2024-08-04,2.1039200270120155e-05,238650739.79286873
2024-08-05,1.9773580810549183e-05,296562240.9975819
2024-08-06,1.793619592459266e-05,732218644.8184825
2024-08-07,1.9809816512499235e-05,372470462.2279842
2024-08-08,1.9111907977176885e-05,426664173.75877374
2024-08-09,2.1772184945771887e-05,321328671.79771644
2024-08-10,2.0812182235828265e-05,221284982.73593652
2024-08-11,2.044704960415357e-05,113961172.65265495
2024-08-12,1.8844371135581304e-05,172617229.68892294
2024-08-13,2.000604368050117e-05,219188033.21937385
2024-08-14,1.9825265639998524e-05,141186699.76931155
2024-08-15,1.9247360501356872e-05,161957157.80624503
2024-08-16,1.860393776042307e-05,200960047.11243698
2024-08-17,1.7558262376999115e-05,150262942.08897224
2024-08-18,1.7945403049897885e-05,106482188.58714293
2024-08-19,1.7679077628574302e-05,101328052.48177314
2024-08-20,1.7878920314198995e-05,148847327.47509488
2024-08-21,1.816596384070534e-05,178460148.1153147
2024-08-22,1.853734939494463e-05,136059251.3123536
2024-08-23,1.894425856608852e-05,127131555.68829414
2024-08-24,2.0714256842745916e-05,273614063.41707414
2024-08-25,2.2006919915768966e-05,272648465.7013435
2024-08-26,2.1038111670427534e-05,169557575.62330383
2024-08-27,1.972857062547993e-05,169629820.31068933
2024-08-28,1.8267330586606653e-05,183631443.41516995
2024-08-29,1.810115583109368e-05,173849871.41045505
2024-08-30,1.8061288000799413e-05,126992271.33970945
2024-08-31,1.775908169383066e-05,122601490.59212285
2024-09-01,1.7339183667443133e-05,59247131.108277634
2024-09-02,1.6490112906366812e-05,94113702.0436702
2024-09-03,1.7499106875566776e-05,121462303.1824059
2024-09-04,1.665697767266492e-05,108409630.42475991
2024-09-05,1.6849672561455083e-05,135173851.42644224
2024-09-06,1.5914524422827433e-05,115356281.398196
2024-09-07,1.5838957860543893e-05,201121026.58523765
2024-09-08,1.5882112899634362e-05,94629989.08576392
2024-09-09,1.6408875741644898e-05,102948840.19287553
2024-09-10,1.7226483406142966e-05,157978285.47582015
2024-09-11,1.723446774861333e-05,122284381.54838796
2024-09-12,1.6581855348754996e-05,130542686.11414923
2024-09-13,1.7078905308561072e-05,107387669.80004074
2024-09-14,1.7692768934429993e-05,98726743.10860983
2024-09-15,1.716650732501096e-05,66709402.04065126
2024-09-16,1.6520124910907526e-05,69545330.78097248
2024-09-17,1.6174832738762727e-05,74036407.3206005
